Area,Rainfall,Temperature,yield,Crops
4954,3605.4,207.0,2404.0,Ginger
5019,3605.4,208.0,2805.0,Ginger
5127,3605.4,209.0,2331.0,Tea
5174,3512.4,210.0,2088.0,Tea
5294,3512.4,211.0,2628.0,Tea
5474,3512.4,212.0,1939.0,Tea
5864,3296.0,213.0,1871.0,Tea
7028,3296.0,214.0,1868.0,Tea
7403,3296.0,215.0,127919.0,Tea
7501,3550.0,216.0,75340.0,Tea
7714,3550.0,217.0,29170.0,Tea
7856,3550.0,218.0,1901.0,Tea
32,3654.0,219.0,972.0,Tea
1,3654.0,220.0,874.0,Tea
30,3654.0,221.0,592.0,Tea
6,233.0,222.0,864.0,Tea
15,233.0,27.0,5373.0,Tea
4,233.0,27.0,6589.0,Paddy
39,234.0,27.0,5107.0,Paddy
6,234.0,27.0,5518.0,Paddy
12,234.0,27.0,4912.0,Paddy
3,3105.0,27.2,3830.0,Paddy
17,3105.0,27.2,313547.0,Paddy
3,3105.0,27.2,2783.0,Paddy
9,236.0,27.0,1533.0,Paddy
21,236.0,27.0,1647.0,Paddy
11,2903.1,27.0,975.0,Paddy
4,2903.1,27.0,2.0,Paddy
15,2903.1,27.0,836.0,Paddy
8,2996.6,27.0,806.0,Paddy
29,2996.6,27.2,880.0,Paddy
1,2996.6,27.2,770.0,Paddy
13736,3522.8,27.2,395.0,Groundnut
14003,3522.8,27.1,187.0,Groundnut
14179,3522.8,27.1,187.0,Groundnut
14319,2903.1,27.1,121.0,Groundnut
14464,2903.1,26.8,103.0,Groundnut
14876,2903.1,26.8,71.0,Groundnut
14976,2996.6,26.8,3961.0,Groundnut
15009,2996.6,37.0,4247.0,Groundnut
15114,2996.6,37.0,3290.0,Groundnut
16224,3522.8,37.0,3138.0,Groundnut
17095,3522.8,38.0,3423.0,Groundnut
17512,3522.8,38.0,3899.0,Groundnut
17587,3729.8,38.0,4015.0,Groundnut
17771,3729.8,39.0,4279.0,Groundnut
17825,3729.8,39.0,4167.0,Groundnut
3147,2746.2,39.0,4479.0,Blackgram
2578,2746.2,40.0,3699.0,Blackgram
1591,2746.2,40.0,4904.0,Blackgram
1298,3360.0,40.0,2821.0,Blackgram
4,3360.0,41.0,3472.0,Blackgram
1122,3360.0,41.0,3647.0,Blackgram
917,3605.4,41.0,393.0,Blackgram
819,3605.4,42.0,167.0,Blackgram
619,3605.4,42.0,71.0,Blackgram
391,3512.4,42.0,52.0,Blackgram
211,3512.4,43.0,313547.0,Blackgram
153,3512.4,43.0,2783.0,Blackgram
111,3296.0,27.0,1533.0,Blackgram
76,3296.0,27.0,1647.0,Blackgram
53,3296.0,27.0,975.0,Blackgram
2688,3550.0,27.0,2.0,Cashew
2311,3550.0,27.0,836.0,Cashew
2188,3550.0,27.0,806.0,Cashew
1998,3654.0,27.2,880.0,Cashew
2006,3654.0,27.2,770.0,Cashew
2034,3654.0,27.2,395.0,Cashew
2035,233.0,27.0,187.0,Cashew
2074,233.0,27.0,187.0,Cashew
2127,233.0,27.0,121.0,Cashew
2090,234.0,27.0,103.0,Cashew
2059,234.0,27.0,71.0,Cashew
2050,234.0,27.0,3961.0,Cashew
1865,3105.0,27.2,4247.0,Cashew
1841,3105.0,27.2,3290.0,Cashew
1799,3105.0,27.2,3138.0,Cashew
1468,236.0,27.1,3423.0,Coconut
568,236.0,27.1,3899.0,Coconut
407,2903.1,27.1,4015.0,Coconut
177,2903.1,26.8,4279.0,Coconut
51,2903.1,26.8,4167.0,Coconut
173,2996.6,26.8,4479.0,Coconut
201,2996.6,37.0,3699.0,Coconut
206,2996.6,37.0,4904.0,Coconut
243,3522.8,37.0,2821.0,Coconut
123,3522.8,38.0,3472.0,Coconut
82,3522.8,38.0,3647.0,Coconut
74,2903.1,38.0,393.0,Coconut
18,2903.1,39.0,167.0,Coconut
37,2903.1,39.0,71.0,Coconut
35,2996.6,39.0,52.0,Coconut
5974,2996.6,40.0,2570.0,Coconut
6631,2996.6,40.0,27170.0,Ginger
6705,3522.8,40.0,114744.0,Ginger
5876,3522.8,41.0,1402.0,Ginger
326,3522.8,41.0,23456.0,Ginger
6470,3729.8,41.0,107809.0,Ginger
6709,3729.8,42.0,1132.0,Ginger
6186,3729.8,42.0,23960.0,Ginger
6503,2746.2,42.0,126487.0,Ginger
5220,2746.2,43.0,804.0,Ginger
4677,2746.2,27.0,30362.0,Ginger
4803,3360.0,27.0,124492.0,Ginger
3739,3360.0,27.0,792.0,Ginger
3529,3360.0,27.0,34153.0,Ginger
3649,3605.4,27.0,132551.0,Ginger
1374,3605.4,27.0,338.0,Ginger
1279,2903.1,27.0,2570.0,Coconut
13283,2903.1,27.0,27170.0,Coconut
52119,2903.1,27.2,114744.0,Coconut
725,2996.6,27.2,1402.0,Coconut
12885,2996.6,27.2,23456.0,Coconut
51179,2996.6,27.0,107809.0,Coconut
468,3522.8,27.0,1132.0,Coconut
11841,3522.8,27.0,23960.0,Coconut
50975,3522.8,27.0,126487.0,Coconut
206,3729.8,27.0,804.0,Coconut
10922,3729.8,27.0,30362.0,Coconut
51390,3729.8,27.2,124492.0,Coconut
177,2746.2,27.2,792.0,Coconut
10723,2746.2,27.2,34153.0,Coconut
51709,2746.2,27.1,132551.0,Coconut
146,3360.0,27.1,338.0,Coconut
10910,3360.0,27.1,22966.0,Coconut
51355,3360.0,26.8,131763.0,Coconut
160,3605.4,26.8,404.0,Coconut
10912,3605.4,27.1,24184.0,Coconut
51353,3605.4,27.1,124387.0,Coconut
1279,3512.4,26.8,343.0,Coconut
13283,3512.4,26.8,23099.0,Coconut
52119,3512.4,26.8,117825.84,Coconut
725,3296.0,37.0,336.0,Coconut
12885,3550.0,37.0,22594.0,Coconut
51179,3550.0,37.0,116481.07,Coconut
468,3550.0,38.0,316.0,Coconut
11841,3654.0,38.0,21400.0,Coconut
50975,3654.0,38.0,122102.0,Coconut
206,3654.0,39.0,382.0,Coconut
10922,233.0,39.0,19578.0,Coconut
51390,233.0,39.0,121037.0,Coconut
177,233.0,40.0,231.0,Coconut
10723,234.0,40.0,18951.0,Coconut
51709,234.0,40.0,110579.0,Coconut
146,234.0,41.0,221.0,Coconut
10910,3105.0,41.0,15362.0,Coconut
51355,3105.0,41.0,120373.0,Coconut
160,3105.0,42.0,291.0,Coconut
10912,236.0,42.0,17231.0,Coconut
51353,236.0,42.0,119359.0,Coconut
1279,2903.1,43.0,283.0,Coconut
13283,2903.1,27.0,17690.0,Coconut
52119,2903.1,27.0,7157.0,Coconut
725,2996.6,27.0,8700.0,Coconut
12885,2996.6,27.0,41266.0,Coconut
51179,2996.6,27.0,8838.0,Coconut
468,3296.0,27.0,8954.0,Coconut
11841,3550.0,27.2,42915.0,Coconut
50975,3550.0,27.2,9230.0,Coconut
206,3550.0,27.2,44313.0,Coconut
10922,3654.0,27.0,45820.0,Coconut
51390,3654.0,27.0,49084.0,Coconut
177,3654.0,27.0,86311.0,Coconut
10723,233.0,27.0,57642.0,Coconut
51709,233.0,27.0,58405.0,Coconut
146,233.0,27.0,60751.0,Coconut
10910,234.0,27.2,109506.0,Coconut
51355,234.0,27.2,114.0,Coconut
160,234.0,27.2,3.0,Coconut
10912,3105.0,27.1,95.0,Coconut
51353,3105.0,27.1,19.0,Coconut
142,3105.0,27.1,54.0,Coconut
10505,236.0,26.8,13.0,Coconut
51040,236.0,26.8,123.0,Coconut
154,2903.1,26.8,19.0,Coconut
10318,2903.1,37.0,32.0,Coconut
48083,2903.1,37.0,8.0,Coconut
143,2996.6,37.0,50.0,Coconut
9283,2996.6,38.0,10.0,Coconut
47200,2996.6,38.0,29.0,Coconut
158,2903.1,38.0,44.0,Coconut
8982,2903.1,39.0,33.0,Coconut
46990,2903.1,39.0,14.0,Coconut
103,2996.6,39.0,56.0,Coconut
8239,2996.6,40.0,26.0,Coconut
44563,2996.6,40.0,98.0,Coconut
96,3522.8,40.0,3.0,Coconut
6949,3522.8,41.0,58637.0,Coconut
44663,3522.8,41.0,59777.0,Coconut
110,3729.8,41.0,60528.0,Coconut
6824,3729.8,42.0,61126.0,Cotton
43013,3729.8,42.0,623687.0,Cotton
95,2746.2,42.0,63504.0,Cotton
6441,2746.2,43.0,63931.0,Cotton
4012,2746.2,43.0,73730.0,Cotton
4877,3360.0,27.0,118416.0,Coconut
4930,3360.0,27.0,130132.0,Coconut
4954,3360.0,27.0,154889.0,Coconut
5019,3605.4,27.0,171739.0,Coconut
5127,3605.4,27.0,172475.0,Coconut
5174,3605.4,27.0,177939.0,Coconut
5294,3512.4,27.2,313547.0,Coconut
5474,3512.4,27.2,2783.0,Coconut
5864,3512.4,27.2,1533.0,Coconut
7028,3296.0,27.0,1647.0,Coconut
7403,3296.0,27.0,975.0,Coconut
7501,3296.0,27.0,2.0,Coconut
7714,3550.0,27.0,836.0,Coconut
7856,3550.0,27.0,806.0,Coconut
32,3550.0,27.0,880.0,Coconut
1,3654.0,27.2,770.0,Coconut
30,3654.0,27.2,395.0,Coconut
6,3654.0,27.2,187.0,Coconut
15,233.0,27.1,187.0,Coconut
4,233.0,27.1,121.0,Coconut
39,233.0,27.1,103.0,Coconut
6,234.0,26.8,71.0,Coconut
12,234.0,26.8,3961.0,Coconut
3,234.0,26.8,4247.0,Coconut
17,3105.0,37.0,3290.0,Coconut
3,3105.0,37.0,3138.0,Coconut
9,3105.0,37.0,3423.0,Coconut
21,236.0,38.0,3899.0,Coconut
11,236.0,38.0,4015.0,Coconut
4,2903.1,38.0,4279.0,Coconut
15,2903.1,39.0,4167.0,Coconut
8,2903.1,39.0,4479.0,Coconut
29,2996.6,39.0,3699.0,Coconut
1,2996.6,41.0,4904.0,Coconut
13736,2996.6,42.0,2821.0,Coconut
14003,3522.8,42.0,3472.0,Coconut
14179,3522.8,42.0,3647.0,Coconut
14319,3522.8,43.0,393.0,Coconut
14464,3729.8,43.0,167.0,Coconut
14876,3729.8,128.0,71.0,Coconut
14976,3729.8,129.0,52.0,Coconut
15009,2746.2,130.0,12.0,Coconut
15114,2746.2,131.0,51.0,Coconut
16224,2746.2,132.0,61.0,Coconut
17095,3360.0,133.0,67.0,Cocoa
17512,3360.0,134.0,62.0,Cocoa
17587,3360.0,135.0,32.0,Cocoa
17771,3605.4,136.0,22.0,Cocoa
17825,3605.4,137.0,25.0,Cocoa
3147,3605.4,138.0,4.0,Cocoa
2578,3512.4,139.0,9.0,Coffee
1591,3512.4,140.0,12.0,Coffee
1298,3512.4,141.0,2089.0,Coffee
4,3296.0,142.0,2810.0,Coffee
1122,3296.0,143.0,841.0,Coffee
917,3296.0,144.0,3550.0,Coffee
819,3550.0,145.0,109.0,Coffee
619,3550.0,146.0,3368.0,Coffee
391,3550.0,147.0,3671.0,Coffee
211,3654.0,148.0,2404.0,Coffee
153,3654.0,149.0,2805.0,Coffee
111,3654.0,150.0,2331.0,Coffee
76,233.0,151.0,2088.0,Coffee
53,233.0,152.0,2628.0,Coffee
2688,233.0,153.0,1939.0,Coffee
2311,2903.1,154.0,1871.0,Cardamum
2188,2903.1,155.0,1868.0,Cardamum
1998,2903.1,156.0,127919.0,Cardamum
2006,2996.6,157.0,75340.0,Cardamum
2034,2996.6,158.0,29170.0,Cardamum
2035,2996.6,159.0,1901.0,Cardamum
2074,3522.8,160.0,972.0,Cardamum
2127,3522.8,161.0,874.0,Cardamum
2090,3522.8,162.0,592.0,Cardamum
2059,3729.8,163.0,864.0,Cardamum
2050,3729.8,164.0,5373.0,Cardamum
1865,3729.8,165.0,6589.0,Cardamum
1841,2746.2,166.0,5107.0,Cardamum
1799,2746.2,167.0,5518.0,Cardamum
1468,2746.2,168.0,4912.0,Cardamum
568,3360.0,169.0,3830.0,Cotton
407,3360.0,170.0,4.0,Cotton
177,3360.0,171.0,9.0,Cotton
51,3605.4,172.0,12.0,Cotton
173,3605.4,173.0,2089.0,Pepper
201,3605.4,174.0,2810.0,Pepper
206,3512.4,175.0,841.0,Pepper
243,3512.4,176.0,3550.0,Pepper
123,3512.4,177.0,109.0,Pepper
82,3296.0,178.0,3368.0,Pepper
74,3296.0,179.0,3671.0,Pepper
18,3296.0,180.0,2404.0,Pepper
37,3550.0,181.0,2805.0,Pepper
35,3550.0,182.0,2331.0,Pepper
5974,3550.0,183.0,2088.0,Pepper
6631,3654.0,184.0,2628.0,Arecanut
6705,3654.0,185.0,1939.0,Arecanut
5876,3654.0,186.0,1871.0,Arecanut
326,233.0,187.0,1868.0,Arecanut
6470,233.0,188.0,127919.0,Arecanut
6709,233.0,189.0,75340.0,Arecanut
6186,234.0,190.0,29170.0,Arecanut
6503,234.0,191.0,1901.0,Arecanut
5220,234.0,192.0,972.0,Arecanut
4677,3105.0,193.0,874.0,Arecanut
4803,3105.0,194.0,592.0,Arecanut
3739,3105.0,195.0,864.0,Arecanut
3529,236.0,196.0,5373.0,Arecanut
3649,236.0,197.0,6589.0,Arecanut
1374,2903.1,198.0,5107.0,Arecanut
933,2903.1,199.0,5518.0,Ginger
345,2903.1,200.0,4912.0,Ginger
29,2996.6,201.0,3830.0,Ginger
11,2996.6,202.0,4.0,Ginger
10,2996.6,203.0,9.0,Ginger
7,3522.8,204.0,12.0,Ginger
10,3522.8,205.0,2089.0,Ginger
56,3522.8,206.0,2810.0,Ginger
68,3729.8,207.0,841.0,Ginger
56,3729.8,208.0,3550.0,Ginger
66,3729.8,209.0,109.0,Ginger
55,2746.2,210.0,3368.0,Ginger
42,2746.2,211.0,3671.0,Ginger
51179,2746.2,212.0,2404.0,Ginger
468,3360.0,213.0,2805.0,Ginger
11841,3360.0,214.0,2331.0,Tea
50975,3360.0,215.0,2088.0,Tea
206,3605.4,216.0,2628.0,Tea
10922,3605.4,217.0,1939.0,Tea
51390,3605.4,218.0,1871.0,Tea
177,3512.4,219.0,1868.0,Tea
10723,3512.4,220.0,127919.0,Tea
51709,3512.4,221.0,75340.0,Tea
146,3296.0,222.0,29170.0,Tea
10910,3296.0,27.0,1901.0,Tea
51355,3296.0,27.0,972.0,Tea
160,3550.0,27.0,874.0,Tea
10912,3550.0,27.0,592.0,Tea
51353,3550.0,27.0,864.0,Tea
142,3654.0,27.2,5373.0,Tea
10505,3654.0,27.2,6589.0,Paddy
51040,3654.0,27.2,5107.0,Paddy
154,233.0,27.0,5518.0,Paddy
10318,233.0,27.0,4912.0,Paddy
48083,233.0,27.0,3830.0,Paddy
143,2903.1,27.0,313547.0,Paddy
9283,2903.1,27.0,2783.0,Paddy
47200,2903.1,27.0,1533.0,Paddy
158,2996.6,27.2,1647.0,Paddy
8982,2996.6,27.2,975.0,Paddy
46990,2996.6,27.2,2.0,Paddy
103,3522.8,27.1,836.0,Paddy
8239,3522.8,27.1,806.0,Paddy
44563,3522.8,27.1,880.0,Paddy
96,3729.8,26.8,770.0,Paddy
6949,3729.8,26.8,395.0,Groundnut
44663,3729.8,26.8,187.0,Groundnut
110,2746.2,37.0,187.0,Groundnut
6824,2746.2,37.0,121.0,Cotton
43013,2746.2,37.0,103.0,Cotton
95,3360.0,38.0,71.0,Cotton
6441,3360.0,38.0,3961.0,Cotton
4012,3360.0,38.0,4247.0,Groundnut
4877,3605.4,39.0,3290.0,Groundnut
4930,3605.4,39.0,3138.0,Groundnut
4954,3605.4,39.0,3423.0,Groundnut
5019,3512.4,40.0,3899.0,Groundnut
5127,3512.4,40.0,4015.0,Groundnut
5174,3512.4,40.0,4279.0,Groundnut
5294,3296.0,41.0,4167.0,Groundnut
5474,3296.0,41.0,4479.0,Blackgram
5864,3296.0,41.0,3699.0,Blackgram
7028,3550.0,42.0,4904.0,Blackgram
7403,3550.0,42.0,2821.0,Blackgram
7501,3550.0,42.0,3472.0,Blackgram
7714,3654.0,43.0,3647.0,Blackgram
7856,3654.0,43.0,393.0,Blackgram
32,3654.0,27.0,167.0,Blackgram
1,233.0,27.0,71.0,Blackgram
30,233.0,27.0,52.0,Blackgram
6,233.0,27.0,313547.0,Blackgram
15,234.0,27.0,2783.0,Blackgram
4,234.0,27.0,1533.0,Blackgram
39,234.0,27.2,1647.0,Blackgram
6,3105.0,27.2,975.0,Blackgram
12,3105.0,27.2,2.0,Cashew
3,3105.0,27.0,836.0,Cashew
17,236.0,27.0,806.0,Cashew
3,236.0,27.0,880.0,Cashew
9,2903.1,27.0,770.0,Cashew
21,2903.1,27.0,395.0,Cashew
11,2903.1,27.0,187.0,Cashew
4,2996.6,27.2,187.0,Cotton
15,2996.6,27.2,121.0,Cotton
8,2996.6,27.2,103.0,Cotton
29,3522.8,27.1,71.0,Cotton
1,3522.8,27.1,3961.0,Cashew
13736,3522.8,27.1,4247.0,Cashew
14003,3729.8,26.8,3290.0,Cashew
14179,3729.8,26.8,3138.0,Cashew
14319,3729.8,26.8,3423.0,Coconut
14464,2746.2,37.0,3899.0,Coconut
14876,2746.2,37.0,4015.0,Coconut
14976,2746.2,37.0,4279.0,Coconut
15009,3360.0,38.0,4167.0,Coconut
15114,3360.0,38.0,4479.0,Coconut
16224,3360.0,38.0,3699.0,Coconut
17095,3605.4,39.0,4904.0,Coconut
17512,3605.4,39.0,2821.0,Coconut
17587,3605.4,39.0,3472.0,Coconut
17771,3512.4,40.0,3647.0,Coconut
17825,3512.4,40.0,393.0,Coconut
3147,3512.4,27.0,167.0,Coconut
2578,3296.0,27.0,71.0,Coconut
1591,3296.0,27.0,52.0,Coconut
1298,3296.0,27.0,2570.0,Coconut
4,3550.0,27.0,27170.0,Ginger
1122,3550.0,27.0,114744.0,Ginger
917,3550.0,27.2,1402.0,Ginger
819,3654.0,27.2,23456.0,Ginger
619,3654.0,27.2,107809.0,Ginger
391,3654.0,27.0,1132.0,Ginger
211,233.0,27.0,23960.0,Cotton
153,233.0,27.0,126487.0,Cotton
111,233.0,27.0,804.0,Cotton
76,234.0,27.0,30362.0,Cotton
53,234.0,27.0,124492.0,Ginger
2688,234.0,27.2,792.0,Ginger
2311,3105.0,27.2,34153.0,Ginger
2188,3105.0,27.2,2570.0,Ginger
1998,3105.0,27.1,27170.0,Ginger
2006,236.0,27.1,114744.0,Coconut
2034,2903.1,27.1,1402.0,Coconut
2035,2903.1,26.8,23456.0,Coconut
2074,2903.1,26.8,107809.0,Coconut
2127,2996.6,26.8,1132.0,Coconut
2090,2996.6,37.0,23960.0,Coconut
2059,2996.6,37.0,126487.0,Coconut
2050,3522.8,37.0,804.0,Coconut
1865,3522.8,38.0,30362.0,Coconut
1841,3522.8,38.0,124492.0,Coconut
1799,3729.8,38.0,792.0,Coconut
1468,3729.8,39.0,34153.0,Coconut
568,3729.8,39.0,132551.0,Coconut
407,2746.2,39.0,338.0,Coconut
177,2746.2,40.0,22966.0,Coconut
51,2746.2,40.0,131763.0,Coconut
173,3360.0,40.0,404.0,Coconut
201,3360.0,41.0,24184.0,Coconut
206,3360.0,41.0,124387.0,Coconut
243,3605.4,41.0,343.0,Coconut
123,3605.4,42.0,23099.0,Coconut
